Name,Type,Locations,Steps,Description
Assemble Artifact,Short,Laboratory,1,Fix the crystal
Buy Beverage,Short,Cafeteria,1,Buy the drink which is depicted in the lower right corner
Chart Course,Short,Admin,1,Tap and drag the ship along the grid line.
Clean O2 Filter,Short,Greenhouse,1,Tap and drag the floating leaves toward the hole.
Clear Asteroids,Long,Balcony,1,Tap and destroy 20 asteroids.
Divert Power,"Visual, Long","(1) Reactor. (2) Admin, Cafeteria, Communications, Greenhouse, Laboratory, Launchpad, MedBay, Office",2,Step 1: Pull up the glowing lever on the device. Step 2: Flip the switch in the center.
Empty Garbage,Short,Cafeteria,1,Pull and hold the lever.
Enter ID Code,Common,Admin,1,Take the ID out of the wallet and type the ID code into the screen
Fix Wiring,Common,"(1) Storage, Hallway, Locker Room. (2) Greenhouse, Hallway, Locker Room. (3) Greenhouse, Laboratory, Locker Room."3,"Step 1, 2, 3: Connect wires of the same color."
Fuel Engines,Long,Launchpad,1,"Fill the gas tank by pressing and holding the button."
Measure Weather,Short,Balcony,1,Press the 'Begin' button on the lower right corner
Prime Shields,Short,Admin,1,"Tap all the red cells to make all the cells white."
Process Data,Short,Office,1,Press the 'Upload' button
Run Diagnostics,Short,Launchpad,1,"Press the red space key. After the countdown ends, tap the red anomaly circle"
Sort Samples,Short,Laboratory,1,Place the sample in the correct box
Start Reactor,Long,Reactor,1,Press the buttons in the exact sames order as the blue squares show on the left display.
Submit Scan,"Visual, Long",MedBay,1,Stand on the platform and scan yourself.
Unlock Manifolds,Short,Reactor,1,Press the buttons in numerical order.
Water Plants,Long,(1) Storage. (2) Greenhouse,2,Step 1: Find a watering can on the shelf. Step 2: Water the plants
