Name,Connections,Vents,Tasks,Actions
Admin,Cafeteria\nStorage,Cafeteria\nHallway,Upload Data(2/2)\nFix Wiring\nSwipe Card,View Admin Map\nFix O2 Depletion(1/2)
Cafeteria,Admin\nMedBay\nStorage\nUpper Engine\nWeapons,Admin\nHallway,Empty Garbage(1/2)\nFix Wiring\nUpload Data(1/2),Call Emergency Meeting
Communications,Shields\nStorage,None,Divert Power(2/2)\nUpload Data(1/2),Fix Communications Sabotage
Electrical,Storage\nLower Engine,MedBay\nSecurity,Calibrate Disbributer\nDivert Power(1/2)\nDownload Data(1/2)\nFix Wiring,Fix Lights
Lower Engine,Electrical\nReactor\nSecurity\nStorage\nUpper Engine,Reactor(S),Divert Power(1/2)\nAlign Engine Output\nFuel Engines(4/4),None
MedBay,Cafeteria\nUpper Engine,Electrical\nSecurity,Inspect Sample\nSubmit Scan,None
Navigation,O2\nShields\nWeapons,Shields\nWeapons,Divert Power(2/2)\nChart Course\nFix Wiring\nStabilize Steering\nUpload Data(1/2),None
O2,Navigation\nShields\nWeapons,None,Clean O2 Filter\nDivert Power(2/2)\nEmpty Chute,Fix O2 Depletion(2/2)
Reactor,Lower Engine\nSecurity\nUpper Engine,Lower Engine\nUpper Engine,Start Reactor\nUnlock Manifolds,Fix Reactor Meltdown
Security,Lower Engine\nReactor\nUpper Engine,Electrical\nMedBay,Divert Power(2/2)\nFix Wiring,Check Security Cameras
Shields,Communications\nNavigation\nO2\nStorage\nWeapons,Navigation(S),Divert Power(2/2)\nPrime Shields,None
Storage,Admin\nCafeteria\nCommunications\nElectrical\nLower Engine\nShields,None,"Fix Wiring,\nEmpty Chute(2/2)\nEmpty Garbage(2/2)\nFuel Engines(1/4, 3/4)",None
Upper Engine,Cafeteria\nLower Engine\nMedBay\nReactor\nSecurity,Reactor(N),Align Engine Output(1/2)\nDivert Power(2/2)\nFuel Engines(2/4),None
Weapons,Cafeteria\nNavigation\nO2\nShields,Navigation(N),Clear Asteroids\nDivert Power(2/2)\nUpload Data(1/2),None
